Rank,Feature
1,GLYCL
2,PPK2
3,GMPS2
4,CDAPPA160
5,GMPR
6,PYK
7,CYSS
8,THRt2pp
9,PUNP6
10,SO4t2pp
11,DASYN160
12,3PEPTabcpp
13,NTD11
14,ALAALAabcpp
15,PAPSR
16,EX_gthrd_e
17,GTHRDtex
18,EX_colipap_e
19,COLIPAKpp
20,COLIPAPabctex
21,P5CR
22,THRD
23,GK1
24,ASNS1
25,FTHFD
26,MTHFC
27,MTHFD
28,THRA
29,MDDEP1pp
30,FE3Ri
31,FE3abcpp
32,ADK1
33,FACOAE181
34,AACPS5
35,NTD8
36,ALAt4pp
37,CAt6pp
38,NTPTP1
39,NTPP2
40,ICHORS_copy1
41,CYTD
42,G3PD5
43,COBALT2abcpp
44,CA2t3pp
45,CBPS
46,ACACT1r
47,ACACT2r
48,ACOAD1f
49,ACOAD2f
50,ECOAH1
51,ECOAH2
52,HACD1
53,HACD2
54,FBP
55,CYTBD2pp
56,PPS
57,NADH5
58,UM3PL
59,EX_thr__L_e
60,THRtex
61,EX_pro__L_e
62,PROt2rpp
63,PROtex
64,EX_LalaDgluMdap_e
65,3PEPTtex
66,EX_so4_e
67,SO4tex
68,PGP161abcpp
69,PGPP161pp
70,ADSK
71,BPNT
72,SADT2
73,SULR
74,IPDDI
75,URIK2
76,GART
77,CBMKr
78,HXAND
79,NTD10
80,EX_gly_e
81,GLYtex
82,GLYt2pp_copy2
83,EX_hxa_e
84,FACOAE60
85,HXAtex
86,HEXt2rpp
87,DHAPT
88,EX_h2s_e
89,H2St1pp
90,H2Stex
91,FBA3
92,PFK_3
93,ARGAGMt7pp
94,PGSA161
95,FTHFLi
96,AMPN
97,NTPP1
98,EX_h_e
99,Htex
100,5DGLCNR
101,5DGLCNt2rpp
102,5DGLCNtex
103,CMPN
104,CSND
105,EX_ptrc_e
106,PTRCORNt7pp
107,PTRCtex
108,PUNP5
109,EX_xtsn_e
110,XTSNt2rpp
111,XTSNtex
112,ICHORS_copy2
113,EX_5dglcn_e
114,PYNP2r
115,AGM3Pt2pp
116,SUCCt3pp
117,HCO3E
118,FDH5pp
119,PLIPA2G161pp
120,LPLIPAL1G161pp
