Rank,Feature,Mean_Abs_Coef,Mean_Rank,Rank_Variance,Stability_K800,Stability_K120,Stability_K50
1,GLYCL,0.572845,5.9,29.1,1.0,1.0,1.0
2,PUNP6,0.547274,64.9,32094.4,1.0,0.867,0.8
3,PPK2,0.484734,15.7,295.1,1.0,1.0,0.933
4,CDAPPA160,0.447151,38.3,11195.2,1.0,0.933,0.933
5,GMPS2,0.394615,30.7,943.0,1.0,1.0,0.733
6,PYK,0.37629,60.2,17670.5,1.0,0.933,0.8
7,THRA,0.362748,195.1,99645.1,1.0,0.733,0.733
8,SO4t2pp,0.355906,109.1,57838.7,1.0,0.867,0.8
9,DASYN160,0.348143,37.9,2944.7,1.0,0.867,0.867
10,THRD,0.333774,141.2,67979.9,1.0,0.8,0.733
11,3PEPTabcpp,0.328235,88.7,24446.8,1.0,0.867,0.733
12,ALAALAabcpp,0.302379,91.6,29598.4,1.0,0.867,0.733
13,GK1,0.28709,74.8,12608.2,1.0,0.8,0.667
14,ASNS1,0.281124,89.9,17605.9,1.0,0.8,0.6
15,PAPSR,0.272803,85.4,23228.5,1.0,0.867,0.6
16,CYSS,0.268461,47.5,2629.4,1.0,0.933,0.8
17,FE3Ri,0.265434,77.3,4610.5,1.0,0.733,0.467
18,FE3abcpp,0.264135,78.0,4559.6,1.0,0.733,0.467
19,FBP,0.257791,97.3,10918.6,1.0,0.6,0.533
20,THRt2pp,0.2468,51.2,1568.3,1.0,0.933,0.8
21,FTHFD,0.225267,75.1,6534.8,1.0,0.8,0.6
22,EX_gthrd_e,0.217601,91.8,12065.0,1.0,0.867,0.533
23,ICHORS_copy1,0.217284,146.2,45714.0,1.0,0.667,0.533
24,ADK1,0.216808,140.3,29736.6,1.0,0.733,0.533
25,CYTD,0.214333,101.8,11343.3,1.0,0.667,0.467
26,IPDDI,0.20949,308.1,120792.7,1.0,0.533,0.4
27,PPS,0.209396,225.1,58096.8,1.0,0.6,0.333
28,EX_colipap_e,0.206013,62.3,1320.9,1.0,0.867,0.467
29,COLIPAKpp,0.206013,61.1,1294.0,1.0,0.867,0.467
30,COLIPAPabctex,0.206013,62.0,1340.1,1.0,0.867,0.467
31,P5CR,0.205312,138.5,53524.1,1.0,0.867,0.467
32,FACOAE181,0.200998,109.4,16910.3,1.0,0.733,0.4
33,URIK2,0.199249,289.0,98187.9,1.0,0.533,0.4
34,AACPS5,0.195273,110.1,16347.6,1.0,0.733,0.4
35,G3PD5,0.195037,92.7,6526.0,1.0,0.667,0.4
36,UM3PL,0.190548,168.7,44773.1,1.0,0.6,0.267
37,COBALT2abcpp,0.185681,152.5,34266.4,1.0,0.667,0.333
38,EX_thr__L_e,0.181928,108.1,8709.2,1.0,0.6,0.4
39,THRtex,0.181928,162.7,51487.8,1.0,0.6,0.333
40,CA2t3pp,0.177315,167.5,28174.4,1.0,0.667,0.267
41,ALAt4pp,0.175201,142.9,21343.8,1.0,0.733,0.333
42,CAt6pp,0.175201,146.2,23869.5,1.0,0.733,0.333
43,CBPS,0.17249,186.2,29998.2,1.0,0.667,0.133
44,FTHFLi,0.171926,169.5,32686.0,1.0,0.467,0.333
45,EX_pro__L_e,0.169691,134.7,16477.0,1.0,0.6,0.333
46,PROt2rpp,0.169691,173.6,41549.1,1.0,0.6,0.4
47,PROtex,0.169691,172.7,41513.8,1.0,0.6,0.4
48,CBMKr,0.163054,176.7,24790.9,1.0,0.533,0.2
49,HXAND,0.161699,349.4,130778.7,1.0,0.533,0.333
50,EX_LalaDgluMdap_e,0.154229,131.8,12842.5,1.0,0.6,0.267
51,3PEPTtex,0.154229,147.3,21227.2,1.0,0.6,0.267
52,EX_so4_e,0.149667,161.3,15023.8,1.0,0.6,0.133
53,SO4tex,0.149667,288.9,92103.1,1.0,0.6,0.133
54,PGP161abcpp,0.148378,110.4,4284.3,1.0,0.6,0.267
55,PGPP161pp,0.148378,109.7,4253.4,1.0,0.6,0.267
56,RNTR4c2,0.148267,273.0,57812.1,1.0,0.333,0.2
57,ACACT1r,0.147546,132.7,8360.1,1.0,0.667,0.0
58,ACACT2r,0.147546,132.7,8250.8,1.0,0.667,0.0
59,ACOAD1f,0.147546,152.3,17878.5,1.0,0.667,0.0
60,ACOAD2f,0.147546,151.2,18421.2,1.0,0.667,0.0
61,ECOAH1,0.147546,125.4,5472.3,1.0,0.667,0.0
62,ECOAH2,0.147546,124.4,5394.0,1.0,0.667,0.0
63,PUNP5,0.146706,404.0,103518.4,1.0,0.4,0.333
64,EX_gly_e,0.143911,214.1,46946.1,1.0,0.533,0.267
65,FE2t3pp,0.143747,197.9,41127.7,1.0,0.333,0.267
66,EX_hxa_e,0.142684,128.8,6586.0,1.0,0.533,0.067
67,FACOAE60,0.142684,122.4,4579.3,1.0,0.533,0.067
68,HXAtex,0.142684,156.8,30935.6,1.0,0.533,0.067
69,ADSK,0.141659,193.4,30096.5,1.0,0.6,0.133
70,BPNT,0.141659,195.7,30239.5,1.0,0.6,0.133
71,SADT2,0.141659,227.3,50257.4,1.0,0.6,0.133
72,SULR,0.141659,272.8,89408.7,1.0,0.6,0.133
73,EX_xtsn_e,0.13859,159.5,11042.1,1.0,0.4,0.133
74,XTSNt2rpp,0.13859,228.1,55962.9,1.0,0.4,0.133
75,XTSNtex,0.13859,228.0,55939.0,1.0,0.4,0.133
76,EX_h_e,0.133938,201.3,22654.1,1.0,0.467,0.2
77,EX_h2s_e,0.132597,147.6,10457.5,1.0,0.533,0.133
78,EX_5dglcn_e,0.130372,190.0,24814.7,1.0,0.4,0.133
79,5DGLCNR,0.130372,212.4,35362.8,1.0,0.467,0.133
80,5DGLCNt2rpp,0.130372,212.7,34795.9,1.0,0.467,0.133
81,5DGLCNtex,0.130372,212.1,34739.7,1.0,0.467,0.133
82,PYNP2r,0.128965,297.2,66130.7,1.0,0.4,0.267
83,AGM3Pt2pp,0.126231,292.6,50398.5,1.0,0.4,0.267
84,ICDHyr,0.125759,295.9,94434.7,1.0,0.333,0.133
85,FBA3,0.124954,165.7,23309.1,1.0,0.533,0.0
86,PFK_3,0.124954,277.8,66365.6,1.0,0.533,0.067
87,ARGAGMt7pp,0.124719,145.5,8111.3,1.0,0.533,0.2
88,XPPT,0.124583,348.7,83692.0,1.0,0.333,0.2
89,SUCCt3pp,0.122884,281.1,70395.5,1.0,0.4,0.133
90,EX_fe3_e,0.122377,188.9,11130.7,1.0,0.333,0.067
91,PLIPA2G161pp,0.119424,226.8,39775.2,1.0,0.4,0.133
92,CMPN,0.11795,173.5,20768.6,1.0,0.467,0.133
93,CSND,0.11795,161.5,14434.8,1.0,0.467,0.133
94,EX_ptrc_e,0.117333,232.9,26123.1,1.0,0.467,0.067
95,PTRCORNt7pp,0.117333,298.9,55327.5,1.0,0.467,0.067
96,PTRCtex,0.117333,310.8,63876.0,1.0,0.467,0.067
97,DADA,0.117131,213.1,41392.4,1.0,0.4,0.2
98,PGSA161,0.115994,131.9,3502.3,1.0,0.533,0.067
99,ATPS4rpp,0.113635,237.1,26080.9,1.0,0.333,0.0
100,ENO,0.113111,187.1,12405.2,1.0,0.4,0.067
101,PGM,0.113111,255.9,44176.5,1.0,0.4,0.067
102,AGM3PA,0.107705,300.3,38681.2,1.0,0.267,0.133
103,UDCPPtppi,0.105122,236.7,33789.5,1.0,0.333,0.2
104,PFL,0.104531,291.5,56735.3,1.0,0.333,0.133
105,EX_succ_e,0.103854,228.1,18876.7,1.0,0.2,0.133
106,SUCCtex,0.103854,309.2,60851.2,1.0,0.2,0.133
107,EX_ins_e,0.102962,219.1,19457.8,1.0,0.333,0.067
108,EX_orn_e,0.101916,228.8,13991.2,1.0,0.067,0.0
109,ACACT8r,0.100558,194.9,12673.4,1.0,0.333,0.133
110,CTECOAI8,0.100558,173.7,8991.4,1.0,0.333,0.133
111,ECOAH8,0.100558,185.5,10085.7,1.0,0.333,0.133
112,TRPAS2,0.100246,340.9,84694.4,1.0,0.4,0.067
113,ASNS2,0.099514,300.1,32364.4,1.0,0.333,0.067
114,PE181abcpp,0.093677,286.9,53134.1,1.0,0.4,0.0
115,SUCDi,0.093608,323.4,55888.8,1.0,0.267,0.067
116,ASPTA,0.091254,340.0,30922.4,1.0,0.133,0.133
117,CITL,0.091054,265.8,41404.5,1.0,0.267,0.133
118,PPK,0.089975,412.0,60177.7,1.0,0.2,0.133
119,PPA2,0.089204,400.4,77905.1,1.0,0.267,0.133
120,AGMH,0.089133,355.8,43154.0,1.0,0.2,0.067
121,PPCK,0.088897,386.4,51534.5,1.0,0.2,0.133
122,CDAPPA161,0.08859,358.4,52769.0,1.0,0.267,0.2
123,CYTK1,0.085255,199.5,12042.1,1.0,0.333,0.0
124,CYTBDpp,0.08471,246.5,32393.6,1.0,0.4,0.0
125,POX,0.084316,339.4,43928.5,1.0,0.2,0.0
126,ASNNpp,0.082824,315.8,29035.7,1.0,0.133,0.067
127,PDH,0.082665,337.9,53307.5,1.0,0.267,0.0
128,PGAMT,0.082551,293.1,47553.1,1.0,0.267,0.133
129,UAGDP,0.082551,300.5,53385.8,1.0,0.267,0.133
130,G1PTT,0.082296,251.3,21001.6,1.0,0.2,0.067
131,TDPGDH,0.082296,351.9,57367.8,1.0,0.2,0.067
132,ASPt2_3pp,0.081547,324.7,30588.5,1.0,0.133,0.067
133,PGCD,0.080736,389.5,55445.3,1.0,0.133,0.0
134,PSERT,0.080736,374.7,49533.0,1.0,0.133,0.0
135,PSP_L,0.080736,374.2,49419.6,1.0,0.133,0.0
136,COBALT2tpp,0.077612,271.4,43433.7,1.0,0.333,0.067
137,ZN2tpp,0.077233,448.7,84942.0,1.0,0.2,0.067
138,PLIPA2E161pp,0.077174,335.1,47844.8,1.0,0.133,0.0
139,RNTR3c2,0.077088,296.7,43305.4,1.0,0.2,0.2
140,ARGDC,0.075757,219.2,9045.5,1.0,0.133,0.0
141,TRPS2,0.073331,410.7,72757.9,1.0,0.133,0.067
142,ALAt2pp_copy2,0.072914,284.9,40825.1,1.0,0.267,0.0
143,EX_adn_e,0.07202,275.6,15302.4,1.0,0.133,0.0
144,ADNt2pp_copy2,0.07202,298.8,20622.2,1.0,0.133,0.0
145,ADNtex,0.07202,297.1,19889.1,1.0,0.133,0.0
146,EX_urea_e,0.071968,267.1,24908.4,1.0,0.133,0.0
147,AGMT,0.071968,317.4,35969.5,1.0,0.133,0.0
148,UREAtex,0.071968,363.4,59252.8,1.0,0.133,0.0
149,UREAtpp,0.071968,363.3,59176.2,1.0,0.133,0.0
150,EX_ala__L_e,0.071575,280.1,38186.2,1.0,0.267,0.0
151,ALAtex,0.071575,285.7,40191.6,1.0,0.267,0.0
152,ADA,0.071244,342.4,24564.4,1.0,0.0,0.0
153,3HAD140,0.071042,290.2,13055.2,1.0,0.2,0.0
154,PSD161,0.07008,340.2,33087.5,1.0,0.067,0.0
155,PSSA161,0.07008,356.1,43096.8,1.0,0.067,0.0
156,AACPS7,0.068942,291.3,13963.5,1.0,0.067,0.0
157,ASPK,0.066856,332.1,18341.6,1.0,0.0,0.0
158,ASAD,0.066856,248.3,4262.1,1.0,0.0,0.0
159,EX_asn__L_e,0.06634,343.1,28551.1,1.0,0.2,0.0
160,ASNtex,0.06634,359.1,32623.0,1.0,0.2,0.0
161,TPI,0.066255,489.3,84778.5,1.0,0.2,0.133
162,PSD160,0.064966,365.3,40409.1,1.0,0.133,0.067
163,PSSA160,0.064966,384.5,51319.3,1.0,0.133,0.067
164,3HAD160,0.064715,282.3,21260.8,1.0,0.133,0.067
165,3OAR160,0.064715,283.1,21556.8,1.0,0.067,0.067
166,3OAS160,0.064715,316.5,30415.4,1.0,0.067,0.067
167,PPC,0.063008,432.9,51888.1,1.0,0.133,0.067
168,ADD,0.062504,394.4,30098.3,1.0,0.0,0.0
169,EX_lipa_cold_e,0.061958,296.7,10894.2,1.0,0.067,0.0
170,CLIPAabctex,0.061958,288.3,18163.8,1.0,0.133,0.0
171,EDTXS3,0.061958,263.7,5225.5,1.0,0.067,0.0
172,EDTXS4,0.061958,262.7,5186.2,1.0,0.067,0.0
173,ZN2abcpp,0.061834,467.2,70389.6,1.0,0.067,0.0
174,EX_indole_e,0.061228,321.3,30703.4,1.0,0.133,0.0
175,ALATA_L,0.059326,354.1,33483.8,1.0,0.067,0.0
176,DGK1,0.058087,268.1,29873.0,1.0,0.133,0.0
177,EX_nh4_e,0.057611,376.7,25069.0,1.0,0.067,0.0
178,AGM3PApp,0.057474,355.1,19700.1,1.0,0.0,0.0
179,PE161abcpp,0.05745,439.3,44566.4,1.0,0.0,0.0
180,EX_anhgm_e,0.05664,336.7,31353.6,1.0,0.133,0.0
181,ANHGMtex,0.05664,347.7,33034.1,1.0,0.133,0.0
182,EAR120y,0.0561,308.0,30192.6,1.0,0.133,0.0
183,THIORDXi,0.055487,451.8,56126.9,1.0,0.067,0.0
184,CPPPGO,0.055405,300.3,35977.9,1.0,0.067,0.0
185,PPPGO,0.054039,371.5,22757.1,1.0,0.0,0.0
186,EX_glu__L_e,0.052839,379.3,34534.7,1.0,0.133,0.0
187,PAPPT3,0.05268,469.0,38292.6,1.0,0.0,0.0
188,UAGCVT,0.05268,480.7,40897.7,1.0,0.0,0.0
189,UAGPT3,0.05268,480.1,41642.6,1.0,0.0,0.0
190,UAPGR,0.05268,485.3,43802.9,1.0,0.0,0.0
191,UDCPDP,0.05268,488.1,45105.2,1.0,0.0,0.0
192,UGMDDS,0.05268,495.9,46803.8,1.0,0.0,0.0
193,AGMt2pp,0.052641,413.0,27853.6,1.0,0.067,0.0
194,PGK,0.052368,460.5,43703.8,1.0,0.0,0.0
195,PGI,0.052364,476.1,47044.6,1.0,0.067,0.067
196,CO2tpp,0.051813,329.1,34728.1,1.0,0.067,0.0
197,12DGR161tipp,0.051734,352.5,23156.1,1.0,0.067,0.0
198,DAGK161,0.051734,280.7,25895.2,1.0,0.067,0.0
199,CU2tpp,0.051004,280.5,31265.3,1.0,0.067,0.0
200,CU2abcpp,0.050486,278.5,31575.8,1.0,0.0,0.0
201,TRDR,0.049737,465.8,53272.5,1.0,0.0,0.0
202,EX_pheme_e,0.049618,333.3,10939.4,1.0,0.0,0.0
203,PHEMEabcpp,0.049618,411.4,31386.0,1.0,0.0,0.0
204,PHEMEtiex,0.049618,404.2,28485.7,1.0,0.0,0.0
205,FCLT,0.049593,299.3,10783.8,1.0,0.0,0.0
206,G1SAT,0.049593,291.7,11399.1,1.0,0.0,0.0
207,PPBNGS,0.049593,392.9,22329.6,1.0,0.0,0.0
208,UPP3S,0.049593,434.3,38895.4,1.0,0.0,0.0
209,UPPDC1,0.049593,434.5,39122.7,1.0,0.0,0.0
210,EX_g3pg_e,0.04952,385.3,16295.2,1.0,0.0,0.0
211,AKGDH,0.047835,432.3,21881.6,1.0,0.067,0.0
212,ALAR,0.046582,418.3,29750.2,1.0,0.067,0.0
213,PGL,0.046421,456.1,47753.6,1.0,0.067,0.067
214,EX_eca4colipa_e,0.04607,325.9,19607.5,1.0,0.0,0.0
215,AADDGT,0.04607,331.7,17707.9,1.0,0.0,0.0
216,ACGAMT,0.04607,338.8,17709.2,1.0,0.0,0.0
217,ACMAMUT,0.04607,362.7,21313.4,1.0,0.0,0.0
